State,Providers,Total_Medicare_Revenue,Avg_Payment_Per_Service,Total_Patients
CA,512,87784499.55,101.76,469495
NY,463,42772078.43,84.26,300892
FL,436,37460675.37,85.19,265080
TX,486,31685819.74,101.52,240691
IL,285,15869230.16,74.31,129482
PA,330,15063205.19,72.04,140538
NJ,192,14475637.89,93.77,99148
OH,294,12280375.13,102.48,98900
MA,187,11610890.0,87.03,84107
AZ,129,11423334.58,105.97,66173
MI,206,10604548.34,76.71,68580
IN,137,10323763.22,138.17,64989
KY,118,10317379.12,78.22,45883
MD,124,10209322.39,66.83,87586
IA,68,9488894.98,62.15,39325
VA,170,9439818.75,77.35,85316
NC,204,9220295.97,64.56,89284
OK,75,8547431.66,83.84,42948
TN,171,7439737.72,65.87,79391
GA,181,7142361.69,63.77,71321
