State,Specialty,Avg_Payment,Providers,Payment_Rank_In_State
AL,Certified Registered Nurse Anesthetist (CRNA),73.8,10,1
AL,Internal Medicine,63.11,5,2
AL,Physician Assistant,56.34,11,3
AL,Nurse Practitioner,44.84,24,4
AL,Optometry,43.03,7,5
AR,Nurse Practitioner,39.19,13,1
AZ,Certified Registered Nurse Anesthetist (CRNA),101.24,7,1
AZ,Anesthesiology,95.81,5,2
AZ,Family Practice,63.99,8,3
AZ,Nurse Practitioner,58.08,24,4
AZ,Physician Assistant,43.54,14,5
AZ,Physical Therapist in Private Practice,29.04,13,6
CA,Ambulatory Surgical Center,1142.46,5,1
CA,General Surgery,125.38,7,2
CA,Gastroenterology,117.68,5,3
CA,Anesthesiology,109.08,14,4
CA,Orthopedic Surgery,108.17,10,5
CA,Neurology,107.44,12,6
CA,Urology,103.46,9,7
CA,Hospitalist,99.17,13,8
CA,Dermatology,97.53,10,9
CA,Otolaryngology,94.83,7,10
CA,Internal Medicine,94.04,51,11
CA,Ophthalmology,93.05,8,12
CA,Emergency Medicine,89.98,22,13
CA,Cardiology,84.95,7,14
CA,Diagnostic Radiology,84.14,15,15
CA,Psychiatry,82.23,13,16
CA,"Psychologist, Clinical",77.14,7,17
CA,Nurse Practitioner,73.75,45,18
CA,Family Practice,72.37,41,19
CA,Optometry,68.41,10,20
CA,Physician Assistant,64.42,43,21
CA,Licensed Clinical Social Worker,63.24,5,22
CA,Pathology,44.16,11,23
CA,Occupational Therapist in Private Practice,34.02,7,24
CA,Physical Therapist in Private Practice,33.83,44,25
CA,Chiropractic,28.1,11,26
CO,Emergency Medicine,95.81,8,1
CO,Certified Registered Nurse Anesthetist (CRNA),87.46,5,2
CO,Internal Medicine,83.49,8,3
CO,Family Practice,67.59,11,4
CO,Physician Assistant,63.48,22,5
CO,Nurse Practitioner,58.57,25,6
CO,Optometry,56.4,5,7
CO,Physical Therapist in Private Practice,31.56,12,8
CO,Chiropractic,24.99,6,9
CT,Internal Medicine,88.41,8,1
CT,Nurse Practitioner,64.15,16,2
CT,Physician Assistant,59.3,17,3
