State,Revenue,Cumulative_Revenue,Pct_Of_Total
CA,87784499.55,87784499.55,19.19
NY,42772078.43,130556577.98,9.35
FL,37460675.37,168017253.35,8.19
TX,31685819.74,199703073.09,6.93
IL,15869230.16,215572303.25,3.47
PA,15063205.19,230635508.44,3.29
NJ,14475637.89,245111146.33,3.17
OH,12280375.13,257391521.46,2.69
MA,11610890.0,269002411.46,2.54
AZ,11423334.58,280425746.04,2.5
MI,10604548.34,291030294.38,2.32
IN,10323763.22,301354057.6,2.26
KY,10317379.12,311671436.72,2.26
MD,10209322.39,321880759.11,2.23
IA,9488894.98,331369654.09,2.07
VA,9439818.75,340809472.84,2.06
NC,9220295.97,350029768.81,2.02
OK,8547431.66,358577200.47,1.87
TN,7439737.72,366016938.19,1.63
GA,7142361.69,373159299.88,1.56
