Region,Total_Orders,Late_Orders,Late_Rate_Pct,Avg_Actual_Days,Avg_Scheduled_Days
East Africa,476,301,63.2,3.3,2.6
West Asia,1578,972,61.6,3.5,2.8
South Asia,2355,1448,61.5,3.5,2.8
Eastern Europe,1077,662,61.5,3.5,2.8
Central Asia,176,108,61.4,3.2,2.4
South of  USA ,1082,660,61.0,3.5,2.7
North Africa,843,509,60.4,3.4,2.8
US Center ,1627,974,59.9,3.4,2.7
East of USA,1826,1094,59.9,3.3,2.7
Western Europe,7820,4678,59.8,3.4,2.7
Caribbean,2158,1281,59.4,3.4,2.8
Southeast Asia,2803,1640,58.5,3.4,2.8
Southern Europe,2729,1594,58.4,3.4,2.8
Central America,7491,4370,58.3,3.4,2.7
South America,3988,2316,58.1,3.3,2.7
Eastern Asia,2145,1247,58.1,3.4,2.8
West of USA ,2038,1178,57.8,3.5,2.8
Northern Europe,2800,1615,57.7,3.4,2.8
Southern Africa,321,184,57.3,3.2,2.8
Oceania,3001,1698,56.6,3.4,2.8
Central Africa,446,249,55.8,3.3,2.7
West Africa,972,509,52.4,3.4,2.8
Canada,248,130,52.4,3.2,2.9
