Category,Total_Orders,Total_Revenue,Total_Profit,Avg_Margin_Pct,Avg_Order_Value
Cleats,9077,1675101.46,190409.77,12.8,184.54
Camping & Hiking,4795,1438404.15,147929.46,11.5,299.98
Cardio Equipment,4673,1425918.39,154265.12,12.4,305.14
Women's Apparel,7811,1204750.0,142222.43,13.0,154.24
Men's Footwear,7893,1026011.11,107123.97,11.7,129.99
Fishing,2194,877556.14,95330.93,12.2,399.98
Shop By Sport,4119,503357.93,45431.29,10.6,122.2
Computers,174,261000.0,26944.23,11.9,1500.0
Electronics,1182,144325.12,15617.72,11.9,122.1
Sporting Goods,357,117006.75,12518.61,12.1,327.75
Cameras ,234,105777.36,12636.08,13.7,452.04
Garden,183,97462.14,12305.17,13.5,532.58
Golf Gloves,963,97218.05,10541.98,12.7,100.95
Crafts,182,83989.36,8949.72,11.6,461.48
Children's Clothing,229,81775.9,10330.43,14.4,357.1
