Year_Month,Total_Orders,Total_Revenue,Avg_Order_Value,Late_Orders,Late_Rate_Pct
1/1/201,158,37351.2,236.4,83,52.5
1/10/20,182,39568.93,217.41,108,59.3
1/11/20,220,49834.14,226.52,119,54.1
1/12/20,247,59653.16,241.51,145,58.7
1/13/20,169,38640.35,228.64,99,58.6
1/14/20,187,34338.27,183.63,125,66.8
1/15/20,141,25382.6,180.02,73,51.8
1/16/20,131,25478.98,194.5,72,55.0
1/17/20,147,24728.58,168.22,91,61.9
1/18/20,161,26552.21,164.92,79,49.1
1/19/20,155,25962.75,167.5,91,58.7
1/2/201,158,36690.06,232.22,89,56.3
1/20/20,192,30557.7,159.15,122,63.5
1/21/20,167,27564.83,165.06,97,58.1
1/22/20,156,28242.08,181.04,98,62.8
1/23/20,148,23517.36,158.9,100,67.6
1/24/20,152,26679.11,175.52,90,59.2
1/25/20,171,26500.01,154.97,107,62.6
1/26/20,155,28094.04,181.25,87,56.1
1/27/20,180,33252.74,184.74,111,61.7
1/28/20,156,25470.52,163.27,76,48.7
1/29/20,145,26824.5,185.0,85,58.6
1/3/201,157,31397.57,199.98,101,64.3
1/30/20,154,30600.31,198.7,98,63.6
1/31/20,137,24661.41,180.01,69,50.4
1/4/201,197,37835.09,192.06,115,58.4
1/5/201,180,35331.99,196.29,112,62.2
1/6/201,176,35945.01,204.23,106,60.2
1/7/201,184,32538.12,176.84,92,50.0
1/8/201,167,29643.86,177.51,94,56.3
1/9/201,174,28058.39,161.26,95,54.6
10/1/20,166,35350.92,212.96,90,54.2
10/10/2,110,26283.5,238.94,65,59.1
10/11/2,126,28905.72,229.41,66,52.4
10/12/2,143,36457.89,254.95,89,62.2
10/13/2,144,34962.84,242.8,86,59.7
10/14/2,135,31606.04,234.12,76,56.3
10/15/2,135,34033.9,252.1,90,66.7
10/16/2,117,30574.76,261.32,60,51.3
10/17/2,151,33798.96,223.83,105,69.5
10/18/2,119,27166.03,228.29,72,60.5
10/19/2,118,25612.93,217.06,70,59.3
10/2/20,133,21683.18,163.03,68,51.1
10/20/2,118,24799.78,210.17,76,64.4
10/21/2,122,26897.51,220.47,73,59.8
10/22/2,111,23155.89,208.61,57,51.4
10/23/2,114,26142.38,229.32,80,70.2
10/24/2,126,29138.44,231.26,86,68.3
10/25/2,107,22676.13,211.93,69,64.5
10/26/2,132,54128.95,410.07,71,53.8
10/27/2,136,66448.0,488.59,77,56.6
10/28/2,116,52843.14,455.54,61,52.6
10/29/2,119,57540.09,483.53,87,73.1
10/3/20,86,13114.76,152.5,45,52.3
10/30/2,116,58441.08,503.8,57,49.1
10/31/2,98,29661.29,302.67,55,56.1
10/4/20,116,17784.4,153.31,65,56.0
10/5/20,128,21070.63,164.61,87,68.0
10/6/20,118,17897.35,151.67,55,46.6
10/7/20,120,19653.43,163.78,73,60.8
10/8/20,120,18135.55,151.13,70,58.3
10/9/20,122,19257.34,157.85,75,61.5
11/1/20,114,21419.55,187.89,67,58.8
11/10/2,114,18144.04,159.16,65,57.0
11/11/2,141,22496.67,159.55,89,63.1
11/12/2,100,16828.45,168.28,43,43.0
11/13/2,115,28749.23,249.99,75,65.2
11/14/2,117,29115.23,248.85,67,57.3
11/15/2,124,33621.64,271.14,58,46.8
11/16/2,129,31873.4,247.08,80,62.0
11/17/2,131,33315.23,254.31,79,60.3
11/18/2,116,29431.42,253.72,68,58.6
11/19/2,134,27318.74,203.87,76,56.7
11/2/20,138,27227.25,197.3,95,68.8
11/20/2,125,25208.74,201.67,67,53.6
11/21/2,127,25327.76,199.43,85,66.9
11/22/2,126,25633.14,203.44,75,59.5
11/23/2,110,20856.7,189.61,66,60.0
11/24/2,127,24147.14,190.13,60,47.2
11/25/2,138,27734.7,200.98,80,58.0
11/26/2,109,21229.44,194.77,84,77.1
11/27/2,120,25027.31,208.56,75,62.5
11/28/2,154,31282.23,203.13,101,65.6
11/29/2,134,26588.61,198.42,72,53.7
11/3/20,127,25340.02,199.53,77,60.6
11/30/2,140,22591.16,161.37,78,55.7
11/4/20,127,30423.4,239.55,75,59.1
11/5/20,109,27608.0,253.28,64,58.7
11/6/20,131,32905.25,251.19,67,51.1
11/7/20,122,29881.06,244.93,75,61.5
11/8/20,108,20619.13,190.92,62,57.4
11/9/20,137,27090.84,197.74,82,59.9
12/1/20,131,24249.34,185.11,80,61.1
12/10/2,140,24919.59,178.0,84,60.0
12/11/2,93,14253.06,153.26,53,57.0
12/12/2,120,23066.87,192.22,66,55.0
12/13/2,117,23042.29,196.94,69,59.0
12/14/2,106,21439.53,202.26,56,52.8
12/15/2,141,26841.87,190.37,95,67.4
12/16/2,118,20198.11,171.17,55,46.6
12/17/2,119,16730.3,140.59,75,63.0
12/18/2,117,18703.73,159.86,83,70.9
12/19/2,108,17097.78,158.31,57,52.8
12/2/20,143,26608.87,186.08,97,67.8
12/20/2,102,13922.17,136.49,60,58.8
12/21/2,118,26554.07,225.03,70,59.3
12/22/2,121,26526.75,219.23,81,66.9
12/23/2,123,54516.54,443.22,83,67.5
12/24/2,115,39138.92,340.34,69,60.0
12/25/2,135,28078.71,207.99,82,60.7
12/26/2,142,30206.18,212.72,82,57.7
12/27/2,126,33592.41,266.61,78,61.9
12/28/2,127,28374.63,223.42,76,59.8
12/29/2,122,32574.39,267.0,81,66.4
12/3/20,176,42545.59,241.74,82,46.6
12/30/2,145,30070.02,207.38,100,69.0
12/31/2,129,25810.1,200.08,68,52.7
12/4/20,159,36734.46,231.03,97,61.0
12/5/20,111,20676.71,186.28,58,52.3
12/6/20,106,21231.63,200.3,75,70.8
12/7/20,93,16788.28,180.52,68,73.1
12/8/20,112,20472.21,182.79,67,59.8
12/9/20,131,22217.25,169.6,76,58.0
2/1/201,130,22926.52,176.36,79,60.8
2/10/20,138,26261.21,190.3,65,47.1
2/11/20,135,23062.36,170.83,62,45.9
2/12/20,115,18331.97,159.41,62,53.9
2/13/20,132,26346.15,199.59,97,73.5
2/14/20,118,20773.67,176.05,64,54.2
2/15/20,119,23896.32,200.81,77,64.7
2/16/20,136,23993.39,176.42,82,60.3
2/17/20,129,25864.19,200.5,90,69.8
2/18/20,146,30333.29,207.76,93,63.7
2/19/20,151,28782.95,190.62,74,49.0
2/2/201,125,23873.75,190.99,86,68.8
2/20/20,155,27286.2,176.04,92,59.4
2/21/20,153,32621.56,213.21,75,49.0
2/22/20,141,26830.95,190.29,85,60.3
2/23/20,126,23749.28,188.49,84,66.7
2/24/20,132,23031.43,174.48,77,58.3
2/25/20,143,27014.09,188.91,73,51.0
2/26/20,142,27309.99,192.32,87,61.3
2/27/20,133,24081.41,181.06,72,54.1
2/28/20,150,27219.93,181.47,86,57.3
2/29/20,39,8104.08,207.8,20,51.3
2/3/201,162,30757.92,189.86,109,67.3
2/4/201,108,20441.77,189.28,50,46.3
2/5/201,129,24799.24,192.24,68,52.7
2/6/201,118,21178.53,179.48,79,66.9
2/7/201,140,24335.39,173.82,65,46.4
2/8/201,133,24285.04,182.59,71,53.4
2/9/201,141,26031.2,184.62,99,70.2
3/1/201,124,21801.48,175.82,70,56.5
3/10/20,156,26881.38,172.32,94,60.3
3/11/20,114,21093.65,185.03,60,52.6
3/12/20,137,23361.6,170.52,72,52.6
3/13/20,135,24352.42,180.39,77,57.0
3/14/20,107,22396.7,209.31,65,60.7
3/15/20,120,23309.38,194.24,76,63.3
3/16/20,126,23818.56,189.04,73,57.9
3/17/20,133,23120.37,173.84,71,53.4
3/18/20,158,29566.64,187.13,79,50.0
3/19/20,134,27625.52,206.16,79,59.0
3/2/201,145,26576.99,183.29,88,60.7
3/20/20,133,23076.59,173.51,78,58.6
3/21/20,125,22151.55,177.21,63,50.4
3/22/20,143,26289.9,183.85,84,58.7
3/23/20,120,18999.98,158.33,63,52.5
3/24/20,118,20040.82,169.84,75,63.6
3/25/20,113,20159.08,178.4,64,56.6
3/26/20,123,22282.85,181.16,65,52.8
3/27/20,156,27916.05,178.95,75,48.1
3/28/20,125,21868.32,174.95,72,57.6
3/29/20,124,25383.56,204.71,86,69.4
3/3/201,164,28744.61,175.27,99,60.4
3/30/20,155,28570.76,184.33,89,57.4
3/31/20,156,27467.7,176.08,96,61.5
3/4/201,158,27632.52,174.89,118,74.7
3/5/201,135,25573.25,189.43,71,52.6
3/6/201,151,28028.11,185.62,101,66.9
3/7/201,144,25434.11,176.63,89,61.8
3/8/201,124,23392.52,188.65,81,65.3
3/9/201,131,23230.4,177.33,73,55.7
4/1/201,135,26578.12,196.87,71,52.6
4/10/20,143,26942.05,188.41,90,62.9
4/11/20,139,23816.33,171.34,76,54.7
4/12/20,167,29707.94,177.89,98,58.7
4/13/20,110,20932.99,190.3,51,46.4
4/14/20,148,26848.89,181.41,94,63.5
4/15/20,150,30551.68,203.68,81,54.0
4/16/20,127,24217.43,190.69,72,56.7
4/17/20,140,27127.31,193.77,98,70.0
4/18/20,160,28134.91,175.84,95,59.4
4/19/20,149,28931.0,194.17,72,48.3
4/2/201,128,24759.11,193.43,67,52.3
4/20/20,121,22635.16,187.07,62,51.2
4/21/20,143,25871.4,180.92,86,60.1
4/22/20,135,25087.12,185.83,78,57.8
4/23/20,153,30040.81,196.35,106,69.3
4/24/20,157,30644.0,195.18,89,56.7
4/25/20,128,23564.49,184.1,74,57.8
4/26/20,133,23798.76,178.94,89,66.9
4/27/20,136,25364.54,186.5,97,71.3
4/28/20,111,23185.62,208.88,65,58.6
4/29/20,134,26780.39,199.85,84,62.7
4/3/201,143,25695.9,179.69,72,50.3
4/30/20,130,22890.3,176.08,74,56.9
4/4/201,90,14670.18,163.0,47,52.2
4/5/201,124,22330.04,180.08,81,65.3
4/6/201,128,23428.47,183.03,68,53.1
4/7/201,120,21564.78,179.71,77,64.2
4/8/201,163,28484.99,174.75,96,58.9
4/9/201,155,29483.01,190.21,74,47.7
5/1/201,148,27515.16,185.91,99,66.9
5/10/20,109,19679.79,180.55,54,49.5
5/11/20,161,31807.98,197.57,102,63.4
5/12/20,130,24531.37,188.7,74,56.9
5/13/20,152,26147.21,172.02,81,53.3
5/14/20,144,27361.69,190.01,68,47.2
5/15/20,152,28970.81,190.6,76,50.0
5/16/20,119,23102.14,194.14,72,60.5
5/17/20,128,24177.48,188.89,75,58.6
5/18/20,127,25162.51,198.13,76,59.8
5/19/20,164,31544.99,192.35,98,59.8
5/2/201,137,26529.26,193.64,91,66.4
5/20/20,158,28557.03,180.74,88,55.7
5/21/20,113,21884.81,193.67,80,70.8
5/22/20,156,26097.13,167.29,83,53.2
5/23/20,122,24971.12,204.68,74,60.7
5/24/20,141,26379.45,187.09,98,69.5
5/25/20,144,26613.11,184.81,76,52.8
5/26/20,144,26953.08,187.17,98,68.1
5/27/20,154,30905.91,200.69,107,69.5
5/28/20,126,25480.51,202.23,72,57.1
5/29/20,135,28351.02,210.01,87,64.4
5/3/201,100,19226.75,192.27,70,70.0
5/30/20,169,31541.81,186.64,91,53.8
5/31/20,152,26600.2,175.0,91,59.9
5/4/201,121,22786.61,188.32,63,52.1
5/5/201,119,22777.65,191.41,75,63.0
5/6/201,146,27723.07,189.88,76,52.1
5/7/201,145,27488.9,189.58,90,62.1
5/8/201,137,27308.75,199.33,87,63.5
5/9/201,128,24293.49,189.79,78,60.9
6/1/201,151,28718.01,190.19,78,51.7
6/10/20,133,24328.44,182.92,87,65.4
6/11/20,117,23457.83,200.49,68,58.1
6/12/20,128,23805.64,185.98,78,60.9
6/13/20,116,23345.54,201.25,74,63.8
6/14/20,132,23844.6,180.64,79,59.8
6/15/20,137,26347.25,192.32,76,55.5
6/16/20,138,26091.28,189.07,93,67.4
6/17/20,135,24358.34,180.43,78,57.8
6/18/20,110,21045.53,191.32,55,50.0
6/19/20,117,23134.61,197.73,64,54.7
6/2/201,159,28250.59,177.68,85,53.5
6/20/20,135,24821.59,183.86,79,58.5
6/21/20,144,29320.76,203.62,77,53.5
6/22/20,144,27651.35,192.02,74,51.4
6/23/20,156,29230.96,187.38,103,66.0
6/24/20,117,22736.75,194.33,66,56.4
6/25/20,126,22675.53,179.96,61,48.4
6/26/20,158,29402.92,186.09,80,50.6
6/27/20,110,21534.77,195.77,67,60.9
6/28/20,136,25081.15,184.42,87,64.0
6/29/20,149,28484.23,191.17,62,41.6
6/3/201,128,24558.95,191.87,78,60.9
6/30/20,148,27986.35,189.1,82,55.4
6/4/201,161,31624.6,196.43,113,70.2
6/5/201,115,20455.89,177.88,71,61.7
6/6/201,127,22609.65,178.03,59,46.5
6/7/201,153,26718.52,174.63,100,65.4
6/8/201,120,22079.74,184.0,67,55.8
6/9/201,139,24776.64,178.25,104,74.8
7/1/201,150,30255.58,201.7,87,58.0
7/10/20,131,25896.41,197.68,78,59.5
7/11/20,144,27652.2,192.03,86,59.7
7/12/20,137,25208.34,184.0,75,54.7
7/13/20,157,26297.21,167.5,106,67.5
7/14/20,157,32024.83,203.98,96,61.1
7/15/20,116,20235.72,174.45,67,57.8
7/16/20,153,28428.22,185.81,79,51.6
7/17/20,126,22518.44,178.72,67,53.2
7/18/20,132,27369.29,207.34,71,53.8
7/19/20,118,21446.81,181.75,68,57.6
7/2/201,150,26387.34,175.92,85,56.7
7/20/20,122,22976.74,188.33,63,51.6
7/21/20,130,22565.49,173.58,73,56.2
7/22/20,109,21432.8,196.63,58,53.2
7/23/20,142,27830.05,195.99,72,50.7
7/24/20,158,28441.12,180.01,92,58.2
7/25/20,140,24768.31,176.92,77,55.0
7/26/20,125,24209.63,193.68,73,58.4
7/27/20,124,23878.47,192.57,58,46.8
7/28/20,175,31060.8,177.49,106,60.6
7/29/20,151,29991.26,198.62,100,66.2
7/3/201,121,24123.4,199.37,92,76.0
7/30/20,135,27171.32,201.27,85,63.0
7/31/20,126,22956.68,182.2,65,51.6
7/4/201,130,24946.45,191.9,73,56.2
7/5/201,157,30323.69,193.14,97,61.8
7/6/201,149,27947.91,187.57,72,48.3
7/7/201,138,28166.4,204.1,87,63.0
7/8/201,131,22159.46,169.16,90,68.7
7/9/201,121,21144.83,174.75,78,64.5
8/1/201,132,23805.54,180.35,85,64.4
8/10/20,129,26544.41,205.77,76,58.9
8/11/20,158,29124.98,184.34,80,50.6
8/12/20,164,31680.71,193.18,91,55.5
8/13/20,142,24015.12,169.12,92,64.8
8/14/20,146,30412.18,208.3,93,63.7
8/15/20,146,26551.55,181.86,97,66.4
8/16/20,108,22778.72,210.91,60,55.6
8/17/20,158,30126.87,190.68,104,65.8
8/18/20,149,27171.29,182.36,87,58.4
8/19/20,163,31966.6,196.11,93,57.1
8/2/201,159,30793.75,193.67,94,59.1
8/20/20,156,29232.79,187.39,111,71.2
8/21/20,160,31369.99,196.06,108,67.5
8/22/20,145,26506.15,182.8,105,72.4
8/23/20,123,23124.71,188.01,63,51.2
8/24/20,134,25420.25,189.7,79,59.0
8/25/20,140,26301.22,187.87,86,61.4
8/26/20,145,26813.09,184.92,92,63.4
8/27/20,125,22188.57,177.51,77,61.6
8/28/20,155,29023.88,187.25,93,60.0
8/29/20,139,26964.31,193.99,85,61.2
8/3/201,117,21252.74,181.65,62,53.0
8/30/20,156,31334.94,200.87,108,69.2
8/31/20,162,32418.58,200.11,98,60.5
8/4/201,111,21532.67,193.99,66,59.5
8/5/201,135,23678.51,175.4,96,71.1
8/6/201,130,26598.43,204.6,85,65.4
8/7/201,145,26161.14,180.42,94,64.8
8/8/201,127,23624.6,186.02,68,53.5
8/9/201,146,25430.48,174.18,82,56.2
9/1/201,155,28212.07,182.01,88,56.8
9/10/20,124,24394.73,196.73,67,54.0
9/11/20,129,25893.5,200.72,68,52.7
9/12/20,165,30546.86,185.13,94,57.0
9/13/20,146,27253.35,186.67,81,55.5
9/14/20,133,24091.51,181.14,66,49.6
