Month,Late_Rate,Orders,Prev_Month_Late_Rate,Month_Over_Month_Change,Trend
1/1/201,52.5,158,,,Stable
1/10/20,59.3,182,52.5,6.8,Worsening
1/11/20,54.1,220,59.3,-5.2,Improving
1/12/20,58.7,247,54.1,4.6,Worsening
1/13/20,58.6,169,58.7,-0.1,Improving
1/14/20,66.8,187,58.6,8.2,Worsening
1/15/20,51.8,141,66.8,-15.0,Improving
1/16/20,55.0,131,51.8,3.2,Worsening
1/17/20,61.9,147,55.0,6.9,Worsening
1/18/20,49.1,161,61.9,-12.8,Improving
1/19/20,58.7,155,49.1,9.6,Worsening
1/2/201,56.3,158,58.7,-2.4,Improving
1/20/20,63.5,192,56.3,7.2,Worsening
1/21/20,58.1,167,63.5,-5.4,Improving
1/22/20,62.8,156,58.1,4.7,Worsening
1/23/20,67.6,148,62.8,4.8,Worsening
1/24/20,59.2,152,67.6,-8.4,Improving
1/25/20,62.6,171,59.2,3.4,Worsening
1/26/20,56.1,155,62.6,-6.5,Improving
1/27/20,61.7,180,56.1,5.6,Worsening
1/28/20,48.7,156,61.7,-13.0,Improving
1/29/20,58.6,145,48.7,9.9,Worsening
1/3/201,64.3,157,58.6,5.7,Worsening
1/30/20,63.6,154,64.3,-0.7,Improving
1/31/20,50.4,137,63.6,-13.2,Improving
1/4/201,58.4,197,50.4,8.0,Worsening
1/5/201,62.2,180,58.4,3.8,Worsening
1/6/201,60.2,176,62.2,-2.0,Improving
1/7/201,50.0,184,60.2,-10.2,Improving
1/8/201,56.3,167,50.0,6.3,Worsening
1/9/201,54.6,174,56.3,-1.7,Improving
10/1/20,54.2,166,54.6,-0.4,Improving
10/10/2,59.1,110,54.2,4.9,Worsening
10/11/2,52.4,126,59.1,-6.7,Improving
10/12/2,62.2,143,52.4,9.8,Worsening
10/13/2,59.7,144,62.2,-2.5,Improving
10/14/2,56.3,135,59.7,-3.4,Improving
10/15/2,66.7,135,56.3,10.4,Worsening
10/16/2,51.3,117,66.7,-15.4,Improving
10/17/2,69.5,151,51.3,18.2,Worsening
10/18/2,60.5,119,69.5,-9.0,Improving
10/19/2,59.3,118,60.5,-1.2,Improving
10/2/20,51.1,133,59.3,-8.2,Improving
10/20/2,64.4,118,51.1,13.3,Worsening
10/21/2,59.8,122,64.4,-4.6,Improving
10/22/2,51.4,111,59.8,-8.4,Improving
10/23/2,70.2,114,51.4,18.8,Worsening
10/24/2,68.3,126,70.2,-1.9,Improving
10/25/2,64.5,107,68.3,-3.8,Improving
10/26/2,53.8,132,64.5,-10.7,Improving
10/27/2,56.6,136,53.8,2.8,Worsening
10/28/2,52.6,116,56.6,-4.0,Improving
10/29/2,73.1,119,52.6,20.5,Worsening
10/3/20,52.3,86,73.1,-20.8,Improving
10/30/2,49.1,116,52.3,-3.2,Improving
10/31/2,56.1,98,49.1,7.0,Worsening
10/4/20,56.0,116,56.1,-0.1,Improving
10/5/20,68.0,128,56.0,12.0,Worsening
10/6/20,46.6,118,68.0,-21.4,Improving
10/7/20,60.8,120,46.6,14.2,Worsening
10/8/20,58.3,120,60.8,-2.5,Improving
