Month,Monthly_Revenue,Cumulative_Revenue,Three_Month_Moving_Avg
1/1/201,37351.2,37351.2,37351.2
1/10/20,39568.93,76920.13,38460.07
1/11/20,49834.14,126754.27,42251.42
1/12/20,59653.16,186407.43,49685.41
1/13/20,38640.35,225047.78,49375.88
1/14/20,34338.27,259386.05,44210.59
1/15/20,25382.6,284768.65,32787.07
1/16/20,25478.98,310247.63,28399.95
1/17/20,24728.58,334976.21,25196.72
1/18/20,26552.21,361528.42,25586.59
1/19/20,25962.75,387491.17,25747.85
1/2/201,36690.06,424181.23,29735.01
1/20/20,30557.7,454738.93,31070.17
1/21/20,27564.83,482303.76,31604.2
1/22/20,28242.08,510545.84,28788.2
1/23/20,23517.36,534063.2,26441.42
1/24/20,26679.11,560742.31,26146.18
1/25/20,26500.01,587242.32,25565.49
1/26/20,28094.04,615336.36,27091.05
1/27/20,33252.74,648589.1,29282.26
1/28/20,25470.52,674059.62,28939.1
1/29/20,26824.5,700884.12,28515.92
1/3/201,31397.57,732281.69,27897.53
1/30/20,30600.31,762882.0,29607.46
1/31/20,24661.41,787543.41,28886.43
1/4/201,37835.09,825378.5,31032.27
1/5/201,35331.99,860710.49,32609.5
1/6/201,35945.01,896655.5,36370.7
1/7/201,32538.12,929193.62,34605.04
1/8/201,29643.86,958837.48,32709.0
1/9/201,28058.39,986895.87,30080.12
10/1/20,35350.92,1022246.79,31017.72
10/10/2,26283.5,1048530.29,29897.6
10/11/2,28905.72,1077436.01,30180.05
10/12/2,36457.89,1113893.9,30549.04
10/13/2,34962.84,1148856.74,33442.15
10/14/2,31606.04,1180462.78,34342.26
10/15/2,34033.9,1214496.68,33534.26
10/16/2,30574.76,1245071.44,32071.57
10/17/2,33798.96,1278870.4,32802.54
10/18/2,27166.03,1306036.43,30513.25
10/19/2,25612.93,1331649.36,28859.31
10/2/20,21683.18,1353332.54,24820.71
10/20/2,24799.78,1378132.32,24031.96
10/21/2,26897.51,1405029.83,24460.16
10/22/2,23155.89,1428185.72,24951.06
10/23/2,26142.38,1454328.1,25398.59
10/24/2,29138.44,1483466.54,26145.57
10/25/2,22676.13,1506142.67,25985.65
10/26/2,54128.95,1560271.62,35314.51
10/27/2,66448.0,1626719.62,47751.03
10/28/2,52843.14,1679562.76,57806.7
10/29/2,57540.09,1737102.85,58943.74
10/3/20,13114.76,1750217.61,41166.0
10/30/2,58441.08,1808658.69,43031.98
10/31/2,29661.29,1838319.98,33739.04
10/4/20,17784.4,1856104.38,35295.59
10/5/20,21070.63,1877175.01,22838.77
10/6/20,17897.35,1895072.36,18917.46
10/7/20,19653.43,1914725.79,19540.47
10/8/20,18135.55,1932861.34,18562.11
10/9/20,19257.34,1952118.68,19015.44
11/1/20,21419.55,1973538.23,19604.15
11/10/2,18144.04,1991682.27,19606.98
11/11/2,22496.67,2014178.94,20686.75
11/12/2,16828.45,2031007.39,19156.39
11/13/2,28749.23,2059756.62,22691.45
11/14/2,29115.23,2088871.85,24897.64
11/15/2,33621.64,2122493.49,30495.37
11/16/2,31873.4,2154366.89,31536.76
11/17/2,33315.23,2187682.12,32936.76
11/18/2,29431.42,2217113.54,31540.02
11/19/2,27318.74,2244432.28,30021.8
11/2/20,27227.25,2271659.53,27992.47
11/20/2,25208.74,2296868.27,26584.91
11/21/2,25327.76,2322196.03,25921.25
11/22/2,25633.14,2347829.17,25389.88
11/23/2,20856.7,2368685.87,23939.2
11/24/2,24147.14,2392833.01,23545.66
11/25/2,27734.7,2420567.71,24246.18
11/26/2,21229.44,2441797.15,24370.43
11/27/2,25027.31,2466824.46,24663.82
11/28/2,31282.23,2498106.69,25846.33
11/29/2,26588.61,2524695.3,27632.72
11/3/20,25340.02,2550035.32,27736.95
11/30/2,22591.16,2572626.48,24839.93
11/4/20,30423.4,2603049.88,26118.19
11/5/20,27608.0,2630657.88,26874.19
11/6/20,32905.25,2663563.13,30312.22
11/7/20,29881.06,2693444.19,30131.44
11/8/20,20619.13,2714063.32,27801.81
11/9/20,27090.84,2741154.16,25863.68
12/1/20,24249.34,2765403.5,23986.44
12/10/2,24919.59,2790323.09,25419.92
12/11/2,14253.06,2804576.15,21140.66
12/12/2,23066.87,2827643.02,20746.51
12/13/2,23042.29,2850685.31,20120.74
12/14/2,21439.53,2872124.84,22516.23
12/15/2,26841.87,2898966.71,23774.56
12/16/2,20198.11,2919164.82,22826.5
12/17/2,16730.3,2935895.12,21256.76
12/18/2,18703.73,2954598.85,18544.05
12/19/2,17097.78,2971696.63,17510.6
12/2/20,26608.87,2998305.5,20803.46
12/20/2,13922.17,3012227.67,19209.61
12/21/2,26554.07,3038781.74,22361.7
12/22/2,26526.75,3065308.49,22334.33
12/23/2,54516.54,3119825.03,35865.79
12/24/2,39138.92,3158963.95,40060.74
12/25/2,28078.71,3187042.66,40578.06
12/26/2,30206.18,3217248.84,32474.6
12/27/2,33592.41,3250841.25,30625.77
12/28/2,28374.63,3279215.88,30724.41
12/29/2,32574.39,3311790.27,31513.81
12/3/20,42545.59,3354335.86,34498.2
12/30/2,30070.02,3384405.88,35063.33
12/31/2,25810.1,3410215.98,32808.57
12/4/20,36734.46,3446950.44,30871.53
12/5/20,20676.71,3467627.15,27740.42
12/6/20,21231.63,3488858.78,26214.27
12/7/20,16788.28,3505647.06,19565.54
12/8/20,20472.21,3526119.27,19497.37
12/9/20,22217.25,3548336.52,19825.91
2/1/201,22926.52,3571263.04,21871.99
2/10/20,26261.21,3597524.25,23801.66
2/11/20,23062.36,3620586.61,24083.36
2/12/20,18331.97,3638918.58,22551.85
2/13/20,26346.15,3665264.73,22580.16
2/14/20,20773.67,3686038.4,21817.26
2/15/20,23896.32,3709934.72,23672.05
2/16/20,23993.39,3733928.11,22887.79
2/17/20,25864.19,3759792.3,24584.63
2/18/20,30333.29,3790125.59,26730.29
2/19/20,28782.95,3818908.54,28326.81
2/2/201,23873.75,3842782.29,27663.33
2/20/20,27286.2,3870068.49,26647.63
2/21/20,32621.56,3902690.05,27927.17
2/22/20,26830.95,3929521.0,28912.9
2/23/20,23749.28,3953270.28,27733.93
2/24/20,23031.43,3976301.71,24537.22
2/25/20,27014.09,4003315.8,24598.27
2/26/20,27309.99,4030625.79,25785.17
2/27/20,24081.41,4054707.2,26135.16
2/28/20,27219.93,4081927.13,26203.78
2/29/20,8104.08,4090031.21,19801.81
2/3/201,30757.92,4120789.13,22027.31
2/4/201,20441.77,4141230.9,19767.92
2/5/201,24799.24,4166030.14,25332.98
2/6/201,21178.53,4187208.67,22139.85
2/7/201,24335.39,4211544.06,23437.72
2/8/201,24285.04,4235829.1,23266.32
2/9/201,26031.2,4261860.3,24883.88
3/1/201,21801.48,4283661.78,24039.24
3/10/20,26881.38,4310543.16,24904.69
3/11/20,21093.65,4331636.81,23258.84
3/12/20,23361.6,4354998.41,23778.88
3/13/20,24352.42,4379350.83,22935.89
3/14/20,22396.7,4401747.53,23370.24
3/15/20,23309.38,4425056.91,23352.83
3/16/20,23818.56,4448875.47,23174.88
3/17/20,23120.37,4471995.84,23416.1
3/18/20,29566.64,4501562.48,25501.86
3/19/20,27625.52,4529188.0,26770.84
3/2/201,26576.99,4555764.99,27923.05
3/20/20,23076.59,4578841.58,25759.7
3/21/20,22151.55,4600993.13,23935.04
3/22/20,26289.9,4627283.03,23839.35
3/23/20,18999.98,4646283.01,22480.48
3/24/20,20040.82,4666323.83,21776.9
3/25/20,20159.08,4686482.91,19733.29
3/26/20,22282.85,4708765.76,20827.58
3/27/20,27916.05,4736681.81,23452.66
3/28/20,21868.32,4758550.13,24022.41
3/29/20,25383.56,4783933.69,25055.98
3/3/201,28744.61,4812678.3,25332.16
3/30/20,28570.76,4841249.06,27566.31
3/31/20,27467.7,4868716.76,28261.02
3/4/201,27632.52,4896349.28,27890.33
3/5/201,25573.25,4921922.53,26891.16
3/6/201,28028.11,4949950.64,27077.96
3/7/201,25434.11,4975384.75,26345.16
3/8/201,23392.52,4998777.27,25618.25
3/9/201,23230.4,5022007.67,24019.01
4/1/201,26578.12,5048585.79,24400.35
4/10/20,26942.05,5075527.84,25583.52
4/11/20,23816.33,5099344.17,25778.83
4/12/20,29707.94,5129052.11,26822.11
4/13/20,20932.99,5149985.1,24819.09
4/14/20,26848.89,5176833.99,25829.94
4/15/20,30551.68,5207385.67,26111.19
4/16/20,24217.43,5231603.1,27206.0
4/17/20,27127.31,5258730.41,27298.81
4/18/20,28134.91,5286865.32,26493.22
4/19/20,28931.0,5315796.32,28064.41
4/2/201,24759.11,5340555.43,27275.01
4/20/20,22635.16,5363190.59,25441.76
4/21/20,25871.4,5389061.99,24421.89
4/22/20,25087.12,5414149.11,24531.23
4/23/20,30040.81,5444189.92,26999.78
