Product,Total_Revenue,Times_Ordered,Cumulative_Pct,ABC_Class
Perfect Fitness Perfect Rip Deck,1670301.62,9061,17.0,A - Top 80pct
Diamondback Women's Serene Classic Comfort Bi,1438404.15,4795,31.7,A - Top 80pct
Nike Men's Free 5.0+ Running Shoe,1415958.39,4566,46.1,A - Top 80pct
Nike Men's Dri-FIT Victory Golf Polo,1204750.0,7811,58.4,A - Top 80pct
Nike Men's CJ Elite 2 TD Football Cleat,1026011.11,7893,68.8,A - Top 80pct
Field & Stream Sportsman 16 Gun Fire Safe,877556.14,2194,77.7,A - Top 80pct
Under Armour Girls' Toddler Spine Surge Runni,487078.21,3974,82.7,B - Middle 15pct
Dell Laptop,261000.0,174,85.4,B - Middle 15pct
Smart watch ,117006.75,357,86.6,B - Middle 15pct
Web Camera,105777.36,234,87.6,B - Middle 15pct
Lawn mower,97462.14,183,88.6,B - Middle 15pct
Porcelain crafts,83989.36,182,89.5,B - Middle 15pct
Children's heaters,81775.9,229,90.3,B - Middle 15pct
Summer dresses,47696.22,221,90.8,B - Middle 15pct
Industrial consumer electronics,40460.8,160,91.2,B - Middle 15pct
Rock music,38054.9,146,91.6,B - Middle 15pct
First aid kit,32527.44,111,91.9,B - Middle 15pct
DVDs ,29259.64,178,92.2,B - Middle 15pct
adidas Youth Germany Black/Red Away Match Soc,28910.0,123,92.5,B - Middle 15pct
Clicgear Rovic Cooler Bag,25393.65,211,92.8,B - Middle 15pct
adidas Men's F10 Messi TRX FG Soccer Cleat,22136.31,119,93.0,B - Middle 15pct
Bag Boy Beverage Holder,21116.55,279,93.2,B - Middle 15pct
Nike Women's Legend V-Neck T-Shirt,20025.0,279,93.4,B - Middle 15pct
Titleist Pro V1x High Numbers Personalized Go,19444.26,120,93.6,B - Middle 15pct
Nike Dri-FIT Crew Sock 6 Pack,19426.0,308,93.8,B - Middle 15pct
Nike Men's Comfort 2 Slide,17636.08,129,94.0,B - Middle 15pct
Bag Boy M330 Push Cart,16637.92,69,94.2,B - Middle 15pct
Titleist Pro V1 High Numbers Personalized Gol,16584.81,109,94.3,B - Middle 15pct
Under Armour Women's Micro G Skulpt Running S,15721.42,91,94.5,B - Middle 15pct
Adult dog supplies,15698.4,186,94.7,B - Middle 15pct
