Department,Total_Orders,Total_Revenue,Total_Profit,Avg_Margin_Pct,Late_Orders,Late_Rate_Pct
Technology,568,407238.16,45640.85,14.05,343,60.4
Discs Shop,708,79874.84,11292.16,13.25,424,59.9
Fitness,1561,254256.14,28474.95,12.65,879,56.3
Footwear,5423,1537743.54,169266.04,12.57,3155,58.2
Apparel,17751,2934000.88,325418.43,12.34,10461,58.9
Golf,12376,1768099.52,195638.81,12.22,7249,58.6
Outdoors,4036,447903.39,49672.04,12.03,2282,56.5
Fan Shop,7135,2335717.71,245273.77,11.62,4341,60.8
Pet Shop,186,15698.4,1341.85,9.26,122,65.6
Book Shop,145,4506.6,256.3,5.95,89,61.4
Health and Beauty ,111,32527.44,817.62,2.31,72,64.9
