State,HC_Revenue,HC_Providers,Healthcare_Revenue_Rank,SC_Revenue,SC_Orders,SupplyChain_Revenue_Rank
CA,87784499.55,512,1,1774738.75,8964,2
NY,42772078.43,463,2,684992.25,3463,3
FL,37460675.37,436,3,306766.92,1564,6
TX,31685819.74,486,4,548769.53,2699,4
IL,15869230.16,285,5,444794.51,2168,5
PA,15063205.19,330,6,222504.3,1140,8
NJ,14475637.89,192,7,188673.54,943,10
OH,12280375.13,294,8,248344.42,1274,7
MA,11610890.0,187,9,89947.65,455,18
AZ,11423334.58,129,10,155316.84,798,11
MI,10604548.34,206,11,216998.66,1081,9
IN,10323763.22,137,12,35473.32,176,32
KY,10317379.12,118,13,29559.7,144,33
MD,10209322.39,124,14,152419.2,772,12
IA,9488894.98,68,15,3492.64,16,43
