Specialty,Avg_Payment,Providers,Above_National_Average_By
Ambulatory Surgical Center,1321.42,25,1238.25
Ambulance Service Provider,422.98,34,339.81
Cardiac Surgery,363.35,6,280.19
Plastic and Reconstructive Surgery,268.67,6,185.51
Neurosurgery,228.61,35,145.45
Thoracic Surgery,217.67,5,134.51
Vascular Surgery,215.86,18,132.69
Micrographic Dermatologic Surgery,194.39,3,111.23
Surgical Oncology,164.98,9,81.82
Clinical Cardiac Electrophysiology,157.36,8,74.19
Orthopedic Surgery,154.85,99,71.69
Opioid Treatment Program,147.35,4,64.19
Radiation Oncology,145.35,29,62.18
Undefined Physician type,133.46,2,50.3
Interventional Cardiology,131.59,25,48.43
