Month,Revenue,Orders,Next_Month_Revenue,Projected_Growth_Pct
1/1/201,37351.2,158,39568.93,5.9
1/10/20,39568.93,182,49834.14,25.9
1/11/20,49834.14,220,59653.16,19.7
1/12/20,59653.16,247,38640.35,-35.2
1/13/20,38640.35,169,34338.27,-11.1
1/14/20,34338.27,187,25382.6,-26.1
1/15/20,25382.6,141,25478.98,0.4
1/16/20,25478.98,131,24728.58,-2.9
1/17/20,24728.58,147,26552.21,7.4
1/18/20,26552.21,161,25962.75,-2.2
1/19/20,25962.75,155,36690.06,41.3
1/2/201,36690.06,158,30557.7,-16.7
1/20/20,30557.7,192,27564.83,-9.8
1/21/20,27564.83,167,28242.08,2.5
1/22/20,28242.08,156,23517.36,-16.7
1/23/20,23517.36,148,26679.11,13.4
1/24/20,26679.11,152,26500.01,-0.7
1/25/20,26500.01,171,28094.04,6.0
1/26/20,28094.04,155,33252.74,18.4
1/27/20,33252.74,180,25470.52,-23.4
1/28/20,25470.52,156,26824.5,5.3
1/29/20,26824.5,145,31397.57,17.0
1/3/201,31397.57,157,30600.31,-2.5
1/30/20,30600.31,154,24661.41,-19.4
1/31/20,24661.41,137,37835.09,53.4
1/4/201,37835.09,197,35331.99,-6.6
1/5/201,35331.99,180,35945.01,1.7
1/6/201,35945.01,176,32538.12,-9.5
1/7/201,32538.12,184,29643.86,-8.9
1/8/201,29643.86,167,28058.39,-5.3
1/9/201,28058.39,174,35350.92,26.0
10/1/20,35350.92,166,26283.5,-25.6
10/10/2,26283.5,110,28905.72,10.0
10/11/2,28905.72,126,36457.89,26.1
10/12/2,36457.89,143,34962.84,-4.1
10/13/2,34962.84,144,31606.04,-9.6
10/14/2,31606.04,135,34033.9,7.7
10/15/2,34033.9,135,30574.76,-10.2
10/16/2,30574.76,117,33798.96,10.5
10/17/2,33798.96,151,27166.03,-19.6
10/18/2,27166.03,119,25612.93,-5.7
10/19/2,25612.93,118,21683.18,-15.3
10/2/20,21683.18,133,24799.78,14.4
10/20/2,24799.78,118,26897.51,8.5
10/21/2,26897.51,122,23155.89,-13.9
10/22/2,23155.89,111,26142.38,12.9
10/23/2,26142.38,114,29138.44,11.5
10/24/2,29138.44,126,22676.13,-22.2
10/25/2,22676.13,107,54128.95,138.7
10/26/2,54128.95,132,66448.0,22.8
10/27/2,66448.0,136,52843.14,-20.5
10/28/2,52843.14,116,57540.09,8.9
10/29/2,57540.09,119,13114.76,-77.2
10/3/20,13114.76,86,58441.08,345.6
10/30/2,58441.08,116,29661.29,-49.2
10/31/2,29661.29,98,17784.4,-40.0
10/4/20,17784.4,116,21070.63,18.5
10/5/20,21070.63,128,17897.35,-15.1
10/6/20,17897.35,118,19653.43,9.8
10/7/20,19653.43,120,18135.55,-7.7
10/8/20,18135.55,120,19257.34,6.2
10/9/20,19257.34,122,21419.55,11.2
11/1/20,21419.55,114,18144.04,-15.3
11/10/2,18144.04,114,22496.67,24.0
11/11/2,22496.67,141,16828.45,-25.2
11/12/2,16828.45,100,28749.23,70.8
11/13/2,28749.23,115,29115.23,1.3
11/14/2,29115.23,117,33621.64,15.5
11/15/2,33621.64,124,31873.4,-5.2
11/16/2,31873.4,129,33315.23,4.5
11/17/2,33315.23,131,29431.42,-11.7
11/18/2,29431.42,116,27318.74,-7.2
11/19/2,27318.74,134,27227.25,-0.3
11/2/20,27227.25,138,25208.74,-7.4
11/20/2,25208.74,125,25327.76,0.5
11/21/2,25327.76,127,25633.14,1.2
11/22/2,25633.14,126,20856.7,-18.6
11/23/2,20856.7,110,24147.14,15.8
11/24/2,24147.14,127,27734.7,14.9
11/25/2,27734.7,138,21229.44,-23.5
